//t, Inflow, WAS_Flow, RAS_Flow, Temp, R1_VSS_Inflow_Concentration, R1_sCOD_Inflow_Concentration, R1_NH3_Inflow_Concentration, R1_NO3_Inflow_Concentration, R5_MeOH_Inflow, Stl_t_TKN_Concentration
488.9,88300.38,438.3578,109113.3,-3,11.73311,26.2,15.59552,1.6,6418457,0.4717334
489,88829.09,420.9638,109400.3,-3,11.63483,26.2,15.57321,1.583389,6413403,0.4725912
489.1,88678.19,403.9734,109156.8,-2.853525,10.67163,26.2,15.19038,1.516611,6269902,0.4731974
489.2,88711.39,403.7229,109103.2,-2.411149,10.66639,26.2,15.09769,1.5,6253811,0.4726575
489.3,87408.35,397.652,107486.6,-2.853525,10.60887,25.89046,15.01695,1.496221,6229945,0.4731164
489.4,87377.29,385.5806,107319.2,-3,9.990282,24.95559,14.76611,1.484808,6097515,0.4739205
489.5,88094.08,372.1423,107771,-3,10.3985,25.67772,14.9505,1.496221,6178143,0.4745174
489.6,86755.32,386.7662,105572.9,-3,9.827835,24.9465,14.73407,1.483389,6083642,0.475047
489.7,86693.79,370.4516,105773.8,-3,9.423394,24.38614,14.60307,1.433222,6002967,0.4756131
489.8,87619.4,370.5242,107111.7,-3,10.10369,25.80173,14.8344,1.483389,6129255,0.4760389
489.9,88530.9,358.6311,108071.5,-3,10.14228,25.88041,14.84018,1.483389,6133497,0.4761317
490,87700.17,334.7183,107052.6,-3,9.286037,24.2423,14.5109,1.40802,5923839,0.4760823
490.1,88078.32,348.2887,107103.9,-2.833891,8.777377,23.17517,14.28473,1.382515,5730940,0.4758732
490.2,87007.53,359.6508,105837.7,-2.166109,10.8965,25.52708,15.0534,1.493185,6192941,0.4739756
490.3,86953.99,367.7936,105840,-2,12.091,26.2,15.60919,1.583831,6428552,0.4713705
490.4,87789.79,389.5687,106647.4,-2,12.58991,26.6162,15.83289,1.616611,6560940,0.4690298
490.5,88134.86,386.5464,106559.8,-1.833891,13.83732,28.20173,16.33452,1.683389,6946773,0.4667575
490.6,86710.43,413.6443,103602.4,-1,14.00205,28.32134,16.36898,1.7,7019381,0.4628645
490.7,86057.18,425.9522,100813.4,-0.1661087,14.31347,28.90802,16.53626,1.7,7075233,0.4576209
490.8,85768.1,420.3819,100169.2,0.05710535,14.84867,30.00494,16.68067,1.7,7116816,0.4529235
490.9,86090.39,410.4746,101847,0.2659727,12.9899,27.30043,15.99922,1.683389,6829091,0.4489235
491,86541.82,427.7108,103800.9,0.2034406,11.40473,26.26026,15.40167,1.6,6405982,0.4470176
491.1,87261.19,413.6276,105751.2,0.09112143,10.35347,25.89057,14.93276,1.516611,6178703,0.4469768
491.2,86706.4,387.9064,104973.4,0.3089772,9.501582,24.41785,14.57515,1.483389,6005459,0.447457
491.3,86489.33,367.4652,104363.9,0.5785842,8.325801,22.6291,14.18214,1.4,5725822,0.4472452
491.4,86494.61,374.0098,104265.5,0.9228815,7.443451,21.69705,13.87124,1.316611,5490635,0.4459888
491.5,86878.03,394.3218,105181.2,0.9285412,6.981218,21.39505,13.59293,1.3,5374923,0.4450919
491.6,88192.44,406.6003,106802,0.5466159,7.031038,21.40341,13.55271,1.283389,5350112,0.4453163
491.7,89021.75,415.7781,107590.8,0.05784786,6.313181,20.44601,13.17565,1.204719,5251087,0.4469812
491.8,89379.49,444.9274,108314.3,-0.1479499,5.034247,18.73852,12.5887,1.152193,5154964,0.4494309
491.9,90072.19,475.3229,109324.5,0.08737618,6.087219,20.1452,12.90327,1.188108,5174052,0.4504575
492,89813.59,495.6256,108852,0.4992155,5.985747,19.95426,12.81648,1.183389,5155227,0.4501893
492.1,89347.17,565.3969,107773.3,0.1241782,4.399933,18.10895,12.27655,1.089874,5093619,0.4515783
492.2,89610.61,636.7816,108446.4,0,3.203115,16.50642,11.65568,0.95929,5030133,0.4544144
492.3,90341.54,650.2713,109201,0,2.862862,16.18799,11.42972,0.9071609,5000889,0.4570151
492.4,91297,651.0948,110173.9,0,3.704542,17.42434,11.74786,0.9359416,5030207,0.4574637
492.5,92314.73,643.6209,111383.9,-0.03873174,5.968421,20.59028,12.51974,1.084066,5107434,0.4559851
492.6,92620.29,644.2037,112621.8,-0.2488953,6.775553,21.87029,13.00352,1.166778,5160513,0.4550863
492.7,92471.69,651.7514,111331.3,-0.4731454,6.232304,21.34032,12.63119,1.1,5115670,0.4560049
492.8,92779.34,654.0294,112070.2,-0.4656399,4.864767,20.28467,12.22239,1.016611,5063451,0.4576189
492.9,93404.42,668.3652,115221.3,-0.7342495,5.530333,20.91771,12.3346,1.016611,5078076,0.4593272
493,93591.13,731.6758,115346.9,-0.7509549,6.430256,21.71007,12.62374,1.083389,5104173,0.4601065
493.1,93028.77,728.9219,112079,-0.4803345,6.538058,21.75685,12.5845,1.083389,5098512,0.4602714
493.2,93061.82,659.2244,111907.7,-0.8763927,6.350984,21.53507,12.4096,1.033222,5082879,0.4615665
493.3,94066.62,616.9528,115309.6,-1,6.410917,21.75409,12.51068,1.066778,5085788,0.4626461
493.4,94767.54,611.1566,116800.9,-1,5.681189,21.06085,12.19565,1,5047861,0.4637689
493.5,94356.96,544.5569,115188.6,-1,4.209779,19.37092,11.65686,0.8833891,4994105,0.4654915
493.6,94040.47,480.1996,113070.6,-1,3.268302,17.74078,11.28052,0.7651158,4960567,0.4677807
