//t, Inflow, WAS_Flow, RAS_Flow, Temp, R1_VSS_Inflow_Concentration, R1_sCOD_Inflow_Concentration, R1_NH3_Inflow_Concentration, R1_NO3_Inflow_Concentration, R5_MeOH_Inflow, Stl_t_S_NO_Concentration, Stl_t_S_NH3_Concentration, 
612.9,135090,645.1222,108606.6,-6,20.14124,38.57867,17.48032,1.797104,8323613,14.57826,1.084801,
613,133324.9,611.0282,108836,-6,15.5937,29.60081,16.92058,1.700059,8092733,14.58478,1.151161,
613.1,131312.8,570.9982,107249.5,-6,14.04265,27.50623,16.47294,1.70006,8075204,14.54517,1.299653,
613.2,129293.5,546.9997,107108,-6,15.82539,29.75891,17.01979,1.724546,8233422,14.6016,1.153898,
613.3,132922.1,590.1644,107572.5,-6,15.61157,29.39211,17.00759,1.727783,7424283,14.68231,1.255813,
613.4,131644,570.9682,105806.4,-6,14.80949,28.38865,16.63686,1.700785,7321925,14.69012,1.308665,
613.5,134762.9,637.9715,106998.8,-6,12.47845,26.23502,15.82844,1.698425,7312237,14.65243,1.168113,
613.6,123249.1,517.0761,105758.9,-6,11.21896,26.18293,15.26052,1.604174,7238625,14.49389,0.8949171,
613.7,126103.7,522.2601,106193.1,-6,10.3404,25.77212,15.07039,1.596981,6975404,14.44564,0.4500779,
613.8,128483.3,533.6401,108774.9,-6,10.03588,24.68758,14.8776,1.5,7002920,14.13424,0.3189773,
613.9,125952.5,520.2413,106826.4,-6,7.814645,21.69704,14.08004,1.403136,6596410,13.84738,0.2808528,
614,119716.6,483.0392,109009,-6,7.418316,21.3035,13.8735,1.381311,6886834,13.55378,0.1274855,
614.1,118701.8,477.423,110789.2,-6,9.850819,24.60347,14.69266,1.498954,7126459,13.40965,0.039359,
614.2,118382.3,468.1637,110072.2,-6,7.645549,21.65829,13.99936,1.400753,7134819,13.50324,0.04364442,
614.3,118525.5,470.2034,108749.1,-6,8.281245,22.2204,14.09819,1.399236,7328313,13.38248,0.02401199,
614.4,120930.1,489.261,109585.9,-5.981223,7.43491,21.58646,13.81182,1.34717,7478538,13.28856,0.02560135,
614.5,123451.6,508.3788,107279.6,-5.020568,6.881602,21.20989,13.51432,1.301873,7330945,13.07211,0.01730753,
614.6,120155.8,483.1079,102827.4,-5,7.569032,21.9025,13.87868,1.343018,7279318,12.92365,0.01382042,
614.7,130249.6,543.7314,104524.4,-5,6.603515,20.78825,13.2611,1.200617,7307900,12.92688,0.01732596,
614.8,130198.9,543.1011,106394.4,-5,6.802263,21.24297,13.43744,1.262372,7338433,12.61442,0.02323651,
614.9,121134.2,488.0437,108603.9,-5,7.224213,21.61272,13.49918,1.299235,7531031,12.6006,0.01897986,
615,126602.9,516.8948,110368.5,-5,6.826445,21.53701,13.44913,1.231965,7329884,12.66727,0.01436053,
615.1,129714.2,537.5815,107720.6,-5,7.480745,22.0525,13.63183,1.293231,7248729,12.62712,0.02055765,
615.2,122295.2,495.4096,107792.7,-5,6.456051,20.50791,12.84337,1.203213,7212113,12.64085,0.02515157,
615.3,129302.9,528.1293,106663.4,-5.000082,6.224341,20.22413,12.6258,1.198886,7207144,12.50387,0.01163963,
615.4,133862.8,588.6915,106547.8,-5.010175,5.321882,19.78995,12.32808,1.14996,7213419,12.11223,0.01133527,
615.5,129218.8,523.6049,106519.7,-5.540752,3.267019,16.47453,11.6217,1.000025,7190565,11.80335,0.01393774,
615.6,130205.2,531.5233,101871.1,-5.37616,2.55946,14.49562,11.12742,0.9011427,7278432,11.4189,0.009097061,
615.7,132944.7,573.8914,103537.5,-5.030431,3.08427,16.41768,11.36859,0.9,7199596,10.92372,0.007187205,
615.8,122304.9,490.2781,108149.4,-5.968545,2.703107,16.07844,11.17722,0.8948382,7149169,10.71932,0.008990128,
615.9,121358.6,485.1225,108600.3,-6,2.488491,14.71498,10.91523,0.7488877,7130719,10.68649,0.007691656,
616,120940.4,480.4501,106471.7,-6,3.846082,18.05286,11.55091,0.8923817,7101319,10.47626,0.007007726,
616.1,123122.2,490.5078,102998.1,-6,4.028262,18.53783,11.57285,0.9052012,7212557,10.54623,0.007694113,
616.2,125610.2,501.7789,102711.8,-5.999132,5.513954,21.12611,12.13827,0.9998707,7307743,10.63897,0.008335748,
616.3,126672.5,506.4653,104909.8,-5.285679,4.497115,20.82855,11.97791,0.9942506,7361822,10.93968,0.01063165,
616.4,130428,526.5742,109049.8,-5.001079,7.300485,23.32142,13.03534,1.152399,7207733,11.20794,0.01318912,
616.5,128730.2,514.5142,109756,-5,7.340701,23.45126,13.03106,1.143099,7314103,11.76813,0.02306097,
616.6,126418,501.6647,109951.8,-5,6.572477,22.01979,12.3478,1.038967,7280565,11.93621,0.01659183,
616.7,128424.4,510.7198,109955.1,-5,4.22084,19.89366,11.55844,0.9014481,7026093,11.65856,0.01006573,
616.8,134240.4,585.2819,109860.4,-5,6.023965,21.50918,12.10832,0.9661169,7291881,11.17267,0.01010846,
616.9,136482.8,622.8391,111237.8,-4.983057,7.019075,23.07351,12.66468,1.091978,7134782,11.15424,0.01477569,
617,141614.6,655.9501,116362.2,-4.773944,7.622607,24.6255,13.10258,1.124243,7118293,11.38813,0.02783162,
617.1,140469.4,651.5687,115788.7,-4.949131,7.358356,23.82041,12.85654,1.098684,6505710,11.57883,0.1070251,
617.2,136884.7,627.2055,115329.2,-4.463534,7.175453,23.28611,12.67337,1.060073,6326900,11.71401,0.1041845,
617.3,136538.7,623.7307,115144.8,-4.013057,7.377725,23.93464,12.81513,1.094935,6456695,11.788,0.03406715,
617.4,137466.5,643.4612,117369.1,-4,7.986093,25.16207,13.15216,1.109993,6587477,11.8501,0.02495939,
617.5,141136.7,651.1747,116754.9,-4,7.44524,24.21779,12.93123,1.089354,7035782,11.92034,0.0428167,
617.6,137172.2,627.9322,113875.2,-4,7.324732,23.61595,12.69564,1.005313,7204682,11.84952,0.05297932,
617.7,137581.7,633.1668,111540.9,-3.963048,7.356297,23.88027,12.72085,1,7244097,11.79532,0.02850314,
617.8,144542.5,654.4416,111222.5,-3.458886,7.154871,23.15897,12.58486,1.000779,7113302,11.70296,0.01780805,
617.9,137890.7,643.5273,111106,-3.959872,7.568898,24.36572,12.97839,1.054935,7274923,11.57208,0.03261428,
618,136957.9,624.0433,113848.1,-3.955823,7.538636,24.31463,12.85059,1.010322,8046263,11.69354,0.0544752,
618.1,136860.5,620.0082,114209.8,-3.047905,8.9906,25.96503,13.42298,1.153188,7498427,11.75245,0.02148771,
618.2,136292.8,592.7982,110717,-3,7.382813,23.45116,12.64354,1.006743,7908155,11.95629,0.02217647,
618.3,136673.3,606.7371,110323.5,-2.991301,6.821716,22.52553,12.39041,0.9324638,8531869,11.85893,0.0135742,
618.4,137225.5,621.033,110481.2,-2.839634,7.113456,23.07242,12.49647,0.9758749,8686557,11.62664,0.01032122,
618.5,137792.7,629.7266,110871.6,-2.440661,7.074592,22.9263,12.43928,0.9749782,8680403,11.4618,0.008662654,
618.6,138279.1,621.9346,110811.9,-2.089378,6.69147,22.10797,12.18427,0.9198251,8667443,11.40431,0.007996313,
618.7,142360.6,641.1126,110017.7,-2,6.073453,21.54938,11.91605,0.8646792,8689491,11.36881,0.007723278,
618.8,149459.8,674.6634,109264.3,-1.803242,5.217055,21.2324,11.64202,0.7841924,8688005,11.26101,0.006971842,
618.9,156944.9,734.7275,109414,-1.260093,4.960067,20.5113,11.51294,0.7218789,8613833,10.98472,0.005916027,
619,159474.7,757.4956,110063.8,-0.9301226,3.541707,18.22068,11.0362,0.5642005,8623669,10.58389,0.005468427,
619.1,159343.4,750.0001,110960.2,-0.7671362,3.129458,17.91673,10.87498,0.5214002,8602644,10.23048,0.005805124,
619.2,156986.1,713.9865,112145.3,-0.9128784,3.729652,19.44152,11.06903,0.5571996,8333412,9.952538,0.006173354,
619.3,156109.3,687.2709,111011.2,-1,3.481736,19.12102,10.99544,0.5214002,7779091,9.808082,0.006366604,
619.4,157797.6,717.2369,109605,-0.7859982,2.927055,17.76124,10.69086,0.4894444,7649203,9.868257,0.006556138,
619.5,157323.2,710.0244,109496.9,-0.3130514,2.764598,17.27858,10.52921,0.4676194,8146336,9.871454,0.005816744,
619.6,155750.2,670.072,109921,-0.4787475,3.199384,18.40372,10.71864,0.4944727,8323631,9.701387,0.00525154,
619.7,152442.5,653.2405,109764.4,-0.8850479,4.546301,20.79129,11.16303,0.560442,8057159,9.556894,0.00528134,
619.8,145142.5,639.8765,109292,-1,5.541963,21.73297,11.37857,0.5733653,7770850,9.569167,0.005590769,
619.9,145474,643.1883,109399,-1.214002,4.690061,21.24515,11.21,0.5214002,7617332,9.804406,0.006755649,
620,145336.9,622.3663,109103.7,-1.785998,4.181947,20.93009,11.08741,0.5,7840778,10.16611,0.008188298,
620.1,137814.6,557.037,108971.7,-2,4.45208,21.20742,11.15324,0.5,8225142,10.16111,0.007381921,
620.2,134721.9,534.1444,110059.7,-1.945145,4.811444,21.39341,11.19125,0.5,8332654,10.03451,0.006556513,
620.3,133894.4,520.3592,111223.1,-1.85338,4.634356,21.24902,11.12758,0.5,8281926,10.14635,0.006248526,
620.4,133243.5,508.4745,111434.8,-1.945145,5.352655,22.03417,11.33879,0.5214002,8255050,10.19254,0.005732445,
620.5,132658.1,497.1057,111516.8,-2.214002,6.600129,23.78286,11.83346,0.6,8427044,10.12184,0.005470821,
620.6,132953.8,501.9157,111525,-2.785998,7.476415,24.99127,12.19377,0.7041591,8627088,10.09722,0.005976291,
620.7,133583.1,512.041,110503.3,-3,8.002727,25.74627,12.42469,0.7683164,8692201,10.23953,0.007071461,
620.8,134801.7,530.6487,111558.8,-3,7.604731,25.34229,12.29231,0.7041591,8532757,10.4788,0.00852599,
620.9,135725.3,544.9173,115187.9,-3,7.025719,24.14554,12.00204,0.6133653,8354146,10.72855,0.01046219,
621,134940.9,531.3968,115170.1,-3,7.022365,23.7533,11.88412,0.6107842,8592062,10.8118,0.01100731,
621.1,134834.5,529.6822,111273.7,-3,7.721159,25.32029,12.19895,0.6995926,8706652,10.72601,0.01018682,
621.2,132863.7,519.6265,108860.8,-2.90371,7.566368,25.26292,12.23578,0.68946,8673664,10.65202,0.009349712,
621.3,126995.5,469.0608,108078,-2.74263,7.100736,24.08656,12.05545,0.6214002,8514114,10.70778,0.009623239,
621.4,127180.6,455.5849,107604.9,-2.90371,7.463924,24.61231,12.17852,0.6260834,8385794,10.83643,0.01042517,
621.5,129591.3,465.6378,106002.2,-3,8.078768,25.75712,12.39796,0.6911174,8317425,10.98139,0.009457826,
621.6,128489.3,463.9997,105027.5,-3.194196,7.967856,25.59458,12.31355,0.683283,8009957,10.96256,0.008383276,
621.7,123177.8,446.5032,105107.4,-3.606375,7.339772,24.16654,12.01966,0.6,7802598,10.92212,0.009642047,
621.8,121530.7,438.3494,104882.4,-3.641584,7.067921,23.37749,11.77225,0.5606532,7790232,10.96304,0.01061339,
621.9,123604.1,444.9749,103271,-3.873315,7.59506,24.69719,12.06873,0.6263181,7867855,11.03536,0.0100807,
622,121263.3,438.3101,102664.7,-3.785998,7.442134,24.50048,12.13634,0.6178529,7588301,10.92829,0.008030932,
622.1,120023.8,435.015,103275.3,-3.214002,7.329932,24.20583,12.11368,0.5999572,7518637,10.80025,0.006726515,
622.2,120725.9,439.9785,104894,-3,7.560878,24.64241,12.19508,0.6148225,7732853,10.84967,0.006520751,
622.3,123228.7,453.9882,105934.3,-3.229448,8.372629,25.75539,12.52583,0.6826818,7591078,10.8952,0.006542681,
622.4,130812.4,500.0748,105817.9,-3.842911,9.311788,26.19234,12.97903,0.7810484,7480469,10.884,0.007233824,
622.5,135221.2,547.3193,105915.8,-4.271216,9.363097,26.10728,13.02863,0.7843831,7501907,10.90403,0.009187515,
622.6,137404,588.5074,106978.4,-4.801625,8.408279,25.65228,12.55901,0.6607017,7606445,10.89994,0.01876394,
622.7,138147.4,598.1464,108410.1,-5,7.938883,25.27513,12.37912,0.6145183,8104131,10.88607,0.07973557,
622.8,137394.8,584.1008,108735,-5,8.225213,25.75114,12.51212,0.6353112,8309497,10.77,0.1206093,
622.9,137162.3,582.0153,109197.4,-5,8.359934,25.91684,12.5646,0.629039,8389342,10.66928,0.1385463,
623,137584.4,586.0915,109912.1,-5,8.177464,25.52795,12.50655,0.61379,8535461,10.64786,0.1576543,
623.1,138670,597.8767,109994.2,-5,7.59582,24.3458,12.30307,0.5811354,8567518,10.64707,0.1705502,
623.2,142408.5,611.5905,110190.1,-5,7.204397,23.45229,12.12602,0.5211532,8517045,10.62225,0.1713473,
623.3,149620.5,636.593,110841.7,-4.785998,7.514301,24.11273,12.2185,0.5214002,8488799,10.52833,0.1424514,
623.4,150678.4,647.7586,110857.6,-4.299953,8.373936,25.56673,12.5887,0.6,8497575,10.32368,0.09743992,
623.5,152129.4,653.9587,109626.3,-4.443738,9.293439,26.15277,13.04611,0.7054847,8527081,10.08091,0.1225416,
623.6,143365.8,607.4059,108123.8,-4.688366,10.18153,26.22075,13.49852,0.8146597,8564553,10.1381,0.2736854,
623.7,140199,580.7231,108115.6,-4.295305,11.26255,26.74683,13.98358,0.9054847,8528397,10.36703,0.4141187,
623.8,148689.2,624.8002,107562.5,-4.030418,11.95719,27.59226,14.33312,0.9592523,8606211,10.96083,0.5481845,
