//t, Inflow, WAS_Flow, RAS_Flow, Temp, R1_VSS_Inflow_Concentration, R1_sCOD_Inflow_Concentration, R1_NH3_Inflow_Concentration, R1_NO3_Inflow_Concentration, R5_MeOH_Inflow, Stl_t_sCOD_Concentration
775.3,87120.41,437.8846,94654.46,-7,5.518104,22.09126,11.15414,0.4,4792558,31.89041
775.4,86404.12,429.6093,90799.46,-7,6.132268,22.76709,11.24518,0.4,4810313,32.41784
775.5,85993.38,416.0018,85791.09,-7,6.572193,23.77068,11.38693,0.4,4833855,33.2725
775.6,86037.41,399.0157,86432.43,-7,6.832592,24.53232,11.56516,0.4008163,4848139,33.79731
775.7,86217.5,396.0218,89911.75,-7,7.03092,24.90616,11.72214,0.4016533,4854707,33.79783
775.8,86172.28,396.1365,90348.64,-7,7.458835,25.10642,11.892,0.4256592,4875275,33.7713
775.9,86350.34,398.381,92936.67,-7,8.065592,25.68523,12.16046,0.4591226,4903550,33.70153
776,86597.47,421.1301,95920.91,-7,7.674711,25.20955,12.00953,0.4426823,4879749,33.39666
776.1,86487.97,444.5329,95727.82,-7,7.060505,24.24172,11.70826,0.4095608,4844375,33.11863
776.2,86518.92,454.4738,96576.3,-7,7.271789,24.94982,11.87544,0.4032735,4855170,32.98801
776.3,87178.52,456.1552,98842.22,-7,7.981756,25.84048,12.22038,0.4291385,4888748,32.88718
776.4,88286.54,444.5855,101007,-7,9.141958,26.08619,12.69286,0.5017494,4933457,32.69271
776.5,89065.03,425.3419,102776.3,-6.751571,9.867255,26.2,13.06953,0.5503143,4958744,32.38152
776.6,89289.11,417.403,103718.2,-6.248429,9.554845,26.2,12.94379,0.5248429,4951090,32.17051
776.7,89287.8,418.8161,103771.8,-6,9.323333,26.2,12.81639,0.5156354,4944907,32.14097
776.8,88950.72,417.4672,102741.7,-6,9.445177,26.2,12.88766,0.5316663,4947345,32.20506
776.9,88647.42,425.7877,101967.8,-6,9.288197,26.2,12.83261,0.5156354,4944707,32.30759
777,89118.38,437.8385,103261,-6,9.363324,26.2,12.90138,0.5,4947133,32.27304
777.1,90211.52,454.8183,105791.3,-6,9.661195,26.2,13.06827,0.5055077,4953588,31.99167
777.2,91312.84,484.5558,107873.7,-6,9.932214,26.2,13.23263,0.5359975,4962135,31.5583
777.3,91812.81,495.1475,108696.1,-6,9.803656,26.2,13.19771,0.5558219,4963864,31.19944
777.4,91992.54,513.2982,108810,-6,9.354192,26.2,12.96281,0.5248429,4952821,31.03394
777.5,92311.84,569.5277,108959.4,-6,9.798099,26.2,13.17953,0.5226175,4962331,30.87406
777.6,92223.11,594.2444,108713.2,-6,11.03336,26.52534,13.72983,0.6582402,5012770,30.73966
777.7,91720.73,614.5653,107704.9,-6,11.90265,27.58611,14.14901,0.8029049,5060901,30.86523
777.8,91498.07,567.8744,107443.7,-5.833891,11.54159,26.85589,14.05133,0.7679978,5048070,30.96052
777.9,92387.09,528.8437,108999.1,-5.166109,11.15543,26.34341,13.91771,0.7056774,5032170,30.9279
